src,dst,sum_kzt,n_tx,tainted_kzt,taint_share
100000003684369100,100000003037660100,53000.0,1,53000.0,1.0
100000003684369100,100000001527186100,678000.0,2,678000.0,1.0
100000008680731100,100000008229700100,23500.0,1,23500.0,1.0
100000003684369100,100000001072022100,740000.0,2,740000.0,1.0
100000002527114100,100000008768896100,47060.0,1,47060.0,1.0
100000003684369100,100000005432267100,250000.0,1,250000.0,1.0
100000002527114100,100000008755361100,14627.0,1,14627.0,1.0
100000007747786100,100000004159526100,100000.0,1,100000.0,1.0
100000008680731100,100000003970394100,85000.0,1,85000.0,1.0
100000002527114100,100000004254434100,44445.0,2,44445.0,1.0
100000007982728100,100000003977183100,41800.0,1,41800.0,1.0
100000003016635100,100000000440392100,105705.0,4,105705.0,1.0
100000002527114100,100000008744849100,44445.0,1,44445.0,1.0
100000000343175100,100000002774456100,50363.0,1,50363.0,1.0
100000001732159100,100000008232832100,337000.0,2,337000.0,1.0
100000003200071100,100000003980083100,30000.0,1,30000.0,1.0
100000006866783100,100000007055802100,200000.0,3,200000.0,1.0
100000006866783100,100000000661912100,25311.0,1,25311.0,1.0
100000003977183100,100000002824176100,144000.0,1,144000.0,1.0
100000008680731100,100000003265158100,80700.0,1,80700.0,1.0
100000007747786100,100000003589877100,26000.0,1,26000.0,1.0
100000002527114100,100000004739664100,12000.0,1,12000.0,1.0
100000000343175100,100000002618492100,178000.0,1,178000.0,1.0
100000000343175100,100000003635170100,25000.0,1,25000.0,1.0
100000005485830100,100000002462183100,107500.0,3,107500.0,1.0
100000006866783100,100000004847758100,18775.0,1,18775.0,1.0
100000003684369100,100000003739818100,57293.0,1,57293.0,1.0
100000006866783100,100000000011452100,75000.0,3,75000.0,1.0
100000004813068100,100000008383405100,25000.0,2,25000.0,1.0
100000000343175100,100000007334196100,150002.0,1,150002.0,1.0
100000003016635100,100000002704875100,30550.0,1,30550.0,1.0
100000008680731100,100000003239379100,92500.0,1,92500.0,1.0
100000004723755100,100000008748914100,95000.0,5,95000.0,1.0
100000004007116100,100000004144536100,113000.0,3,113000.0,1.0
100000006866783100,100000002214301100,21438.0,1,21438.0,1.0
100000002527114100,100000004494983100,35000.0,1,35000.0,1.0
100000003016635100,100000001851289100,109510.0,3,109510.0,1.0
100000003016635100,100000007544358100,300000.0,1,300000.0,1.0
100000003016635100,100000004664905100,234620.0,3,234620.0,1.0
100000003684369100,100000008628231100,50000.0,1,50000.0,1.0
100000000343175100,100000000979923100,97900.0,1,97900.0,1.0
100000008418835100,100000008730021100,75555.0,3,75555.0,1.0
100000003016635100,100000006177176100,8911.0,1,8911.0,1.0
100000008314203100,100000008637537100,232000.0,11,232000.0,1.0
100000003016635100,100000004790991100,239413.0,4,239413.0,1.0
100000003684369100,100000001924185100,36000.0,1,36000.0,1.0
100000002527114100,100000008672162100,15550.0,1,15550.0,1.0
100000003016635100,100000001805543100,59000.0,1,59000.0,1.0
100000003016635100,100000007442518100,6000.0,1,6000.0,1.0
100000003684369100,100000003022835100,125000.0,1,125000.0,1.0
100000007747786100,100000003377795100,7000.0,1,7000.0,1.0
100000003684369100,100000002565277100,483319.0,1,483319.0,1.0
100000008680731100,100000002864680100,55932.0,1,55932.0,1.0
100000002527114100,100000006369769100,40000.0,1,40000.0,1.0
100000003016635100,100000005634552100,25850.0,1,25850.0,1.0
100000005485830100,100000005895525100,120000.0,3,120000.0,1.0
100000006866783100,100000008304139100,23567.0,1,23567.0,1.0
100000008601794100,100000001872484100,871400.0,13,871400.0,1.0
100000008418835100,100000000343175100,31500.0,1,31500.0,1.0
100000007747786100,100000005514161100,30000.0,1,30000.0,1.0
100000003684369100,100000008671929100,75000.0,2,75000.0,1.0
100000007747786100,100000002836736100,193000.0,1,193000.0,1.0
100000003016635100,100000000507799100,5132.0,1,5132.0,1.0
100000007747786100,100000005778283100,205760.0,1,205760.0,1.0
100000007747786100,100000007641801100,200000.0,1,200000.0,1.0
100000003016635100,100000008188026100,63358.0,4,63358.0,1.0
100000006866783100,100000004299488100,337000.0,5,337000.0,1.0
100000003684369100,100000005133757100,25000.0,1,25000.0,1.0
100000003016635100,100000004948177100,341163.0,6,341163.0,1.0
100000002527114100,100000008666075100,26217.0,1,26217.0,1.0
100000006866783100,100000001330685100,130425.0,1,130425.0,1.0
100000003977183100,100000003923946100,282000.0,3,282000.0,1.0
100000003684369100,100000006446271100,50000.0,1,50000.0,1.0
100000003016635100,100000008173359100,6110.0,1,6110.0,1.0
100000002527114100,100000008737422100,76903.0,1,76903.0,1.0
100000002527114100,100000007631637100,15341.0,1,15341.0,1.0
100000002527114100,100000001953577100,15600.0,1,15600.0,1.0
100000008659445100,100000005456919100,263950.0,5,263950.0,1.0
100000004041163100,100000005523088100,700000.0,2,700000.0,1.0
100000006866783100,100000001126374100,20000.0,2,20000.0,1.0
100000003016635100,100000004394765100,451888.0,8,451888.0,1.0
100000003016635100,100000004330371100,96671.0,4,96671.0,1.0
100000003684369100,100000002988894100,306121.0,1,306121.0,1.0
100000003684369100,100000007181706100,163772.0,1,163772.0,1.0
100000004358004100,100000005527892100,70000.0,1,70000.0,1.0
100000007747786100,100000002844652100,61360.0,1,61360.0,1.0
100000002527114100,100000002810870100,33677.0,1,33677.0,1.0
100000003684369100,100000004004621100,25000.0,1,25000.0,1.0
100000003016635100,100000003134937100,10286.0,1,10286.0,1.0
100000007982728100,100000006788200100,93200.0,1,93200.0,1.0
100000006866783100,100000005620225100,43923.0,1,43923.0,1.0
100000007747786100,100000002894076100,741782.0,3,741782.0,1.0
100000002527114100,100000001389255100,16136.0,1,16136.0,1.0
100000002527114100,100000003187359100,19072.0,1,19072.0,1.0
100000001616816100,100000001641789100,17826.0,1,17826.0,1.0
